repo,commit,commit_url,author_date,author,subject,hit_aspects,files_changed,insertions,deletions,branch
denoland/deno,104514b06dfbbb899235fb1147aa1fa62477a6d5,https://github.com/denoland/deno/commit/104514b06dfbbb899235fb1147aa1fa62477a6d5,2025-04-21,David Sherret,fix(compile): error when cannot extract binary section (#28986),generics,2,13,15,origin/main
denoland/deno,093f3ba56518aba6e7844c17f9ba1fd09dafc6d1,https://github.com/denoland/deno/commit/093f3ba56518aba6e7844c17f9ba1fd09dafc6d1,2025-01-09,David Sherret,refactor(npm): extract out some npm fs resolution code from the cli (#27607),generics,24,312,213,origin/main
denoland/deno,4e8d30fca19fa5fb588dd158da401407ff142e5a,https://github.com/denoland/deno/commit/4e8d30fca19fa5fb588dd158da401407ff142e5a,2024-04-12,David Sherret,chore(test): use file_test_runner for spec tests (#23348),const_decl,3,125,238,origin/main
denoland/deno,742cc3111ccb7c3c12c1b05904be052094657481,https://github.com/denoland/deno/commit/742cc3111ccb7c3c12c1b05904be052094657481,2023-04-27,David Sherret,refactor(cli): extract out ProcState from CliMainWorker (#18867),generics,11,658,419,origin/main
denoland/deno,5778e1196e5adbae77e5a05bd7cfb4879b012739,https://github.com/denoland/deno/commit/5778e1196e5adbae77e5a05bd7cfb4879b012739,2023-02-10,Kamil Ogórek,feat(install): follow redirects for urls with no path (#17449),async_await generics,4,199,86,origin/main
denoland/deno,95d2f206fc98c69234d26e9b9fac93b1b1643c61,https://github.com/denoland/deno/commit/95d2f206fc98c69234d26e9b9fac93b1b1643c61,2022-07-01,David Sherret,refactor: extract `deno_graph::create_graph` use to common function (#15009),generics,9,122,408,origin/main
denoland/deno,b7b6b9c9e5b84dea67ff6a2b691245f640644b2c,https://github.com/denoland/deno/commit/b7b6b9c9e5b84dea67ff6a2b691245f640644b2c,2022-01-31,Bartek Iwańczuk,"Revert ""refactor: factor out CDP message types (#13501)"" (#13540)",async_await,8,109,642,origin/main
denoland/deno,b33e8d5d427934544fa6e0de44df8793aae63c9d,https://github.com/denoland/deno/commit/b33e8d5d427934544fa6e0de44df8793aae63c9d,2020-10-18,Casper Beyer,refactor(cli/repl): extract is_closing to a function (#8015),async_await,1,26,22,origin/main
tauri-apps/tauri,658e5f5d1dc1bd970ae572a42447448d064a7fee,https://github.com/tauri-apps/tauri/commit/658e5f5d1dc1bd970ae572a42447448d064a7fee,2025-03-16,Thomas Eizinger,feat: introduce `App::run_return` (#12668),generics,11,155,50,origin/feat/cef
tauri-apps/tauri,67d7877f27f265c133a70d48a46c83ffff31d571,https://github.com/tauri-apps/tauri/commit/67d7877f27f265c133a70d48a46c83ffff31d571,2024-01-04,Fabian-Lars,fix(cli): Watch workspace members if tauri dir is workspace root (#8520),generics,2,46,38,origin/feat/cef
tauri-apps/tauri,e1e85dc2a5f656fc37867e278cae8042037740ac,https://github.com/tauri-apps/tauri/commit/e1e85dc2a5f656fc37867e278cae8042037740ac,2023-05-13,Amr Bashir, chore: fix ci and cleanup leftovers (#6925),non_linear_ctrl_flow,80,698,9689,origin/feat/cef
unionlabs/union,9b01ce6d75b84f049c1ede75750d33ce26ae73d9,https://github.com/unionlabs/union/commit/9b01ce6d75b84f049c1ede75750d33ce26ae73d9,2024-05-21,Hussein Ait Lahcen,feat(ucs01): extract constants,const_decl,1,36,23,origin/evmattestor
FuelLabs/sway,cdfc56c700ab32eefb84f75ed3048bd2a0ea22d2,https://github.com/FuelLabs/sway/commit/cdfc56c700ab32eefb84f75ed3048bd2a0ea22d2,2022-12-21,Luna Razzaghipour,Extract FuelVM-specific instructions to umbrella instruction (#3642),non_linear_ctrl_flow,8,422,370,origin/xunilrj/trivial-encode-1
zed-industries/zed,d00ad02b05981c79942b3bdff957e2384e68b89f,https://github.com/zed-industries/zed/commit/d00ad02b05981c79942b3bdff957e2384e68b89f,2025-10-28,Paweł Kondzior,agent_ui: Add file name and line number to symbol completions (#40508),non_linear_ctrl_flow,2,24,8,origin/kb/rainbow-brackets
zed-industries/zed,1f40a3c70e7377c4fbbec34280358b605d1110ef,https://github.com/zed-industries/zed/commit/1f40a3c70e7377c4fbbec34280358b605d1110ef,2025-10-24,Mohin Hasin Rabbi,Document global debug.json usage and fix REPL error copy (#40836),generics,2,31,12,origin/kb/rainbow-brackets
zed-industries/zed,bf63ff2b9157a05985536bd4890cd9e3587f24e7,https://github.com/zed-industries/zed/commit/bf63ff2b9157a05985536bd4890cd9e3587f24e7,2025-10-22,Cole Miller,Fix path for vscode-html-language-server when found on PATH (#40832),non_linear_ctrl_flow,1,12,10,origin/kb/rainbow-brackets
zed-industries/zed,6470443271a9f61ff90c2bd25dcc934a0f395d5c,https://github.com/zed-industries/zed/commit/6470443271a9f61ff90c2bd25dcc934a0f395d5c,2025-09-25,Derek Nguyen,python: Fix ty archive extraction on Linux (#38917),const_decl,1,2,2,origin/kb/rainbow-brackets
zed-industries/zed,9e6f1d5a6eac1b3b603d828470064718d97fbc01,https://github.com/zed-industries/zed/commit/9e6f1d5a6eac1b3b603d828470064718d97fbc01,2025-09-19,Derek Nguyen,python: Fix ty binary path and required args (#38458),const_decl,1,15,8,origin/kb/rainbow-brackets
zed-industries/zed,fcc3d1092fc2c0323d6f06e93e06c5ed8fad2c0e,https://github.com/zed-industries/zed/commit/fcc3d1092fc2c0323d6f06e93e06c5ed8fad2c0e,2025-08-29,Raphael Lüthy,supermaven: Improve completion caching and position validation (#37047),generics,1,77,16,origin/kb/rainbow-brackets
zed-industries/zed,176c445817c431ec2557d2df074d97e600983b96,https://github.com/zed-industries/zed/commit/176c445817c431ec2557d2df074d97e600983b96,2025-08-19,0x5457,Avoid symlink conflicts when re-extracting `eslint-xx.tar.gz` (#36068),async_await,1,1,1,origin/kb/rainbow-brackets
zed-industries/zed,566c5f91a7ee4dffe8d3afa8c4ff3b04e71f21eb,https://github.com/zed-industries/zed/commit/566c5f91a7ee4dffe8d3afa8c4ff3b04e71f21eb,2025-03-14,Kirill Bulatov,Refine word completions (#26779),generics,18,431,251,origin/kb/rainbow-brackets
