repo,commit,commit_url,author_date,author,subject,hit_aspects,files_changed,insertions,deletions,branch
denoland/deno,6ca54279de2d05e40f6bfc75ade38d5893677bf0,https://github.com/denoland/deno/commit/6ca54279de2d05e40f6bfc75ade38d5893677bf0,2025-08-20,David Sherret,refactor: add deno_maybe_sync crate (#30459),,54,161,203,origin/main
denoland/deno,489d9bbdcf382bb9a07ba64a9792de6e84033f1b,https://github.com/denoland/deno/commit/489d9bbdcf382bb9a07ba64a9792de6e84033f1b,2025-07-14,David Sherret,refactor(loader): extract out more module loading code from cli crate (#30084),,13,317,260,origin/main
denoland/deno,c1751d7ef4b0052c098b75392ad1f4434089419c,https://github.com/denoland/deno/commit/c1751d7ef4b0052c098b75392ad1f4434089419c,2025-07-03,David Sherret,refactor: extract PreparedModuleLoader from CLI (#29977),,13,1010,824,origin/main
denoland/deno,efac7cd67ae194d3866d22b2ff6a965c67336c75,https://github.com/denoland/deno/commit/efac7cd67ae194d3866d22b2ff6a965c67336c75,2025-07-02,David Sherret,refactor: extract CJS analysis from CLI crate (#29975),,14,508,282,origin/main
denoland/deno,7a1e949c476a3b55d6fb8a1141f74bc96c9da8fb,https://github.com/denoland/deno/commit/7a1e949c476a3b55d6fb8a1141f74bc96c9da8fb,2025-07-02,David Sherret,"refactor: extract `DenoDir`, `Emitter`, `EmitCache` and `ParsedSourceCache` from cli crate (#29961)",,26,490,406,origin/main
denoland/deno,b3242183f32c4aedfffcadad68251709a0913232,https://github.com/denoland/deno/commit/b3242183f32c4aedfffcadad68251709a0913232,2025-06-10,David Sherret,refactor: extract `TsConfigResolver` to `deno_resolver` (#29695),,20,189,152,origin/main
denoland/deno,cf372ba4024d5df96e698149fca2080d943c0bc2,https://github.com/denoland/deno/commit/cf372ba4024d5df96e698149fca2080d943c0bc2,2025-06-04,David Sherret,refactor(install): support tarball extract in Wasm (#29587),,10,77,24,origin/main
denoland/deno,4d47fcac554b7b79b985439b3f610f7d14ed1a28,https://github.com/denoland/deno/commit/4d47fcac554b7b79b985439b3f610f7d14ed1a28,2025-06-02,David Sherret,refactor: extract out resolving with graph to deno_resolver (#29549),,6,160,103,origin/main
denoland/deno,7b7aa8846b6fbc602af40167590e1120a11ac482,https://github.com/denoland/deno/commit/7b7aa8846b6fbc602af40167590e1120a11ac482,2025-06-02,Divy Srivastava,fix(ext/node): make DatabaseSync `readOnly` optional (#29564),,1,1,,origin/main
denoland/deno,fb723098a5b9e7a75d66316ab75a1fb147f26f25,https://github.com/denoland/deno/commit/fb723098a5b9e7a75d66316ab75a1fb147f26f25,2025-06-02,Divy Srivastava,fix(ext/node): export StatementSync from `node:sqlite` (#29563),,6,80,14,origin/main
denoland/deno,ebccb8a6bac5d893c46be3101c5412470e708849,https://github.com/denoland/deno/commit/ebccb8a6bac5d893c46be3101c5412470e708849,2025-05-30,Heyang Zhou,fix(ext/http): handle vsock streams in `extract_network_stream` (#29518),,4,74,,origin/main
denoland/deno,0f7d15dc8688bbe32224756578c42953eff7bb89,https://github.com/denoland/deno/commit/0f7d15dc8688bbe32224756578c42953eff7bb89,2025-05-29,David Sherret,refactor: extract CLI's `deno_graph::source::Locker` to `deno_resolver` (#29491),,2,70,67,origin/main
denoland/deno,6daaf0e1a600e0233d6768b8499f3b6d7ca67d75,https://github.com/denoland/deno/commit/6daaf0e1a600e0233d6768b8499f3b6d7ca67d75,2025-05-14,David Sherret,refactor: ability to provide custom life cycle script executor to deno install code (#29299),,11,634,546,origin/main
denoland/deno,a834d6ad960ad66b43777bcac6e1bfe3bb99e0a5,https://github.com/denoland/deno/commit/a834d6ad960ad66b43777bcac6e1bfe3bb99e0a5,2025-05-08,David Sherret,fix(npm): add some context to errors on tarball extraction failure (#29145),,1,75,8,origin/main
denoland/deno,7ae0f14a9014f1c34a9cc1d64667f71d65cee0a7,https://github.com/denoland/deno/commit/7ae0f14a9014f1c34a9cc1d64667f71d65cee0a7,2025-05-03,David Sherret,refactor(deno_resolver): extract out CLI's `deno_graph::source::Resolver` (#29143),,17,434,233,origin/main
denoland/deno,16d305449d94770b316c6b3d11fdf47054e5fb5b,https://github.com/denoland/deno/commit/16d305449d94770b316c6b3d11fdf47054e5fb5b,2025-04-17,David Sherret,feat(compile): support for ffi and node native addons (#28934),,28,417,16,origin/main
denoland/deno,69b59b229678559b5761c501e364d70446d768d2,https://github.com/denoland/deno/commit/69b59b229678559b5761c501e364d70446d768d2,2025-02-27,Nathan Whitaker,"perf(http): instantiate generic functions in `deno_http`, increase opt-level for some more hyper deps (#28317)",,7,87,22,origin/main
denoland/deno,761a9b62ce6beb318528a6bd4b890915897a402a,https://github.com/denoland/deno/commit/761a9b62ce6beb318528a6bd4b890915897a402a,2025-02-21,David Sherret,refactor(cli): extract TypeChecker to separate module (#28235),,7,1078,1072,origin/main
denoland/deno,dd1ee5821bfb8856a543be46dc537108b03dce23,https://github.com/denoland/deno/commit/dd1ee5821bfb8856a543be46dc537108b03dce23,2025-02-06,Marvin Hagemeister,feat(unstable): align lint ast with TSEStree (#27996),,5,2158,964,origin/main
denoland/deno,073caf5fe9b00427cffc858a4bee5b0034839de4,https://github.com/denoland/deno/commit/073caf5fe9b00427cffc858a4bee5b0034839de4,2025-02-03,David Sherret,refactor: extract out utf16 map from lsp to cli::util module (#27950),,3,322,350,origin/main
denoland/deno,679902a108e21630183ae9199f8fdda868b99227,https://github.com/denoland/deno/commit/679902a108e21630183ae9199f8fdda868b99227,2025-01-27,David Sherret,perf(node_resolver): reduce url to/from path conversions (#27839),,28,678,416,origin/main
denoland/deno,ce0968ef3ad32fd007fe592495788fa453f2bb0b,https://github.com/denoland/deno/commit/ce0968ef3ad32fd007fe592495788fa453f2bb0b,2025-01-08,David Sherret,refactor(npm): split some resolution from installation (#27595),,15,1571,1469,origin/main
denoland/deno,225c3dea874e9e94e24abfa176c00cf65fa2e80a,https://github.com/denoland/deno/commit/225c3dea874e9e94e24abfa176c00cf65fa2e80a,2025-01-02,David Sherret,refactor: update some fs_util functions to use sys_traits (#27515),,7,205,148,origin/main
denoland/deno,26425a137b7489fe675d106c3943cdcea6fce0cb,https://github.com/denoland/deno/commit/26425a137b7489fe675d106c3943cdcea6fce0cb,2024-12-21,Marvin Hagemeister,feat(unstable): add JS linting plugin infrastructure (#27416),,15,5499,3,origin/main
denoland/deno,95928c46eb83024551e4ede49ea00c4f4b21afef,https://github.com/denoland/deno/commit/95928c46eb83024551e4ede49ea00c4f4b21afef,2024-12-16,David Sherret,refactor: extract out `FileFetcher` to `deno_cache_dir` (#27263),,42,1008,2142,origin/main
denoland/deno,94c7653d0e3ce8dcdc08866b92ff698a65b4b0d7,https://github.com/denoland/deno/commit/94c7653d0e3ce8dcdc08866b92ff698a65b4b0d7,2024-12-09,David Sherret,fix(compile): correct read length for transpiled typescript files (#27301),,1,48,27,origin/main
