timestamp_iso,file_path,start_index,end_index,exit_code,extraction_start__to__load_the_analysis,load_the_analysis__to__analysis_loaded,analysis_loaded__to__get_the_assists,get_the_assists__to__filter_for_extract_function_assist,filter_for_extract_function_assist__to__apply_extract_function_assist,apply_extract_function_assist__to__extraction_end
2025-11-03T20:39:09,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/beerus-ext-com1/beerus_rest_api/src/main.rs,451,1445,0,690646,19243,2824,2784036,4202,10138
2025-11-03T20:39:09,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-ext-com1/git-protocol/src/packet_line/decode.rs,1431,2392,0,489277,43161,2218,3210099,2788,5408
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/beerus-ext-com1/beerus_rest_api/src/main.rs,451,1445,0,9285,86226,2120,2060529,2476,5371
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-ext-com1/git-protocol/src/packet_line/decode.rs,1431,2392,0,307613,128739,2785,2887546,2574,7746
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-ext-com2/git-config/src/file/resolve_includes.rs,2149,2409,0,10238,100897,2468,1872872,2692,28872
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-ext1/gix-pack/src/verify.rs,754,872,0,454708,90926,2210,1583716,3171,13176
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-ext2/gix-mailmap/src/parse.rs,1934,2872,0,468576,99266,2948,1449459,3634,6355
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-ext3/gix-hash/src/object_id.rs,1939,2383,0,593338,121557,2593,2098630,4041,30428
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-ext4/gix-config/src/source.rs,967,1309,0,387921,109024,2798,2715010,3668,21512
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-ext5/gix-config/src/source.rs,4037,4402,0,520525,101651,2508,2183887,2948,11685
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-ext6/gix-config/src/source.rs,5258,5608,0,529156,104946,2568,2342050,2513,10251
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-ext7/gix-glob/src/parse.rs,2378,3019,0,290983,101383,2307,2869735,5587,11670
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-inline-ext1/gix-validate/src/reference.rs,1204,1979,0,376787,96027,2954,2508828,3532,6906
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-inline-ext2/gix-object/src/parse.rs,2805,4728,0,496737,105101,2427,4729361,3486,8189
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-inline-ext3/gix/src/create.rs,6140,6266,0,488481,122647,3248,4827718,4000,21855
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-inline-ext4/gix-lock/src/acquire.rs,4047,4400,0,495756,121965,3684,3281795,5483,15325
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-inline-ext5/gix-lock/src/acquire.rs,4089,4281,0,495051,112329,2474,2657133,2991,12808
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-inline-ext6/gix-discover/src/is.rs,5614,6173,0,622550,107609,2873,4480736,3848,22912
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-inline-ext7/gix-glob/src/parse.rs,1282,1318,0,403207,96122,2356,2769977,2617,8734
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-inline-ext8/gix-diff/src/tree/changes.rs,8536,8981,0,644857,113862,2226,4631719,3362,34001
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/kickoff-ext1/src/font.rs,3206,3398,0,494546,112377,3619,2768148,2671,14533
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/kickoff-ext2/src/history.rs,1319,1872,0,398752,124576,2850,2443569,2733,11091
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/kickoff-ext3/src/font.rs,855,1018,0,492629,110374,2586,2531962,2069,13516
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/kickoff-ext4/src/font.rs,1996,2334,0,578567,108555,2736,2514134,3164,22551
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/kickoff-inline-ext1/src/gui.rs,6534,7185,0,520277,126225,2583,2793580,2920,11691
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/petgraph-ext1/src/generate.rs,2106,2371,0,374755,105993,2342,3306952,3347,9064
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/petgraph-ext2/src/graphmap.rs,21146,21451,0,929776,181024,3519,7384406,4936,53650
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/petgraph-ext3/src/graphmap.rs,23974,24080,0,881791,149205,2483,6287406,2447,42136
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/petgraph-ext4/src/dot.rs,4961,5739,0,671999,123294,3069,4046105,3188,16542
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/petgraph-ext5/src/algo/floyd_warshall.rs,3576,3911,0,400859,86750,2658,3688382,3107,9421
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/petgraph-ext6/src/algo/isomorphism.rs,2739,3028,0,853792,154358,3156,6198179,2902,75377
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/petgraph-inline-ext1/src/dot.rs,6622,8315,0,550082,114773,3004,4988262,3287,14740
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/sniffnet-ext1/src/utility/manage_charts_data.rs,1270,1652,0,318576,89782,3191,4012997,2925,11313
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/sniffnet-ext2/src/utility/manage_notifications.rs,3710,4787,0,521024,108808,2324,2959298,2719,7431
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/sniffnet-ext3/src/utility/get_formatted_strings.rs,1487,1984,0,491132,114474,2420,2639553,2501,14870
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/sniffnet-ext4/src/utility/get_formatted_strings.rs,3869,4252,0,289206,104857,2458,3087829,3184,19270
2025-11-03T20:50:29,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/sniffnet-ext5/src/utility/manage_packets.rs,2418,2822,0,451829,112413,2904,3560519,2571,16898
