file_path,extraction_start__to__load_the_analysis,load_the_analysis__to__analysis_loaded,analysis_loaded__to__get_the_assists,get_the_assists__to__filter_for_extract_function_assist,filter_for_extract_function_assist__to__apply_extract_function_assist,apply_extract_function_assist__to__extraction_end,total_time,total_time_as_ms
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/beerus-ext-com1/beerus_rest_api/src/main.rs,690646,19243,2824,2784036,4202,10138,3511089,3.511089
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-ext-com1/git-protocol/src/packet_line/decode.rs,489277,43161,2218,3210099,2788,5408,3752951,3.752951
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/beerus-ext-com1/beerus_rest_api/src/main.rs,9285,86226,2120,2060529,2476,5371,2166007,2.166007
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-ext-com1/git-protocol/src/packet_line/decode.rs,307613,128739,2785,2887546,2574,7746,3337003,3.337003
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-ext-com2/git-config/src/file/resolve_includes.rs,10238,100897,2468,1872872,2692,28872,2018039,2.018039
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-ext1/gix-pack/src/verify.rs,454708,90926,2210,1583716,3171,13176,2147907,2.147907
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-ext2/gix-mailmap/src/parse.rs,468576,99266,2948,1449459,3634,6355,2030238,2.030238
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-ext3/gix-hash/src/object_id.rs,593338,121557,2593,2098630,4041,30428,2850587,2.850587
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-ext4/gix-config/src/source.rs,387921,109024,2798,2715010,3668,21512,3239933,3.239933
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-ext5/gix-config/src/source.rs,520525,101651,2508,2183887,2948,11685,2823204,2.823204
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-ext6/gix-config/src/source.rs,529156,104946,2568,2342050,2513,10251,2991484,2.991484
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-ext7/gix-glob/src/parse.rs,290983,101383,2307,2869735,5587,11670,3281665,3.281665
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-inline-ext1/gix-validate/src/reference.rs,376787,96027,2954,2508828,3532,6906,2995034,2.995034
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-inline-ext2/gix-object/src/parse.rs,496737,105101,2427,4729361,3486,8189,5345301,5.345301
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-inline-ext3/gix/src/create.rs,488481,122647,3248,4827718,4000,21855,5467949,5.467949
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/gitoxide-inline-ext4/gix-lock/src/acquire.rs,495756,121965,3684,3281795,5483,15325,3924008,3.924008
