2025-10-31 13:26:54 [INFO] - Application Started
2025-10-31 13:26:54 [INFO] - Running 'test' subcommand
2025-10-31 13:26:54 [INFO] - Verbose: no
2025-10-31 13:26:54 [INFO] - Starting tests...
2025-10-31 13:26:55 [INFO] - Test 1 | PASSED | PASSED: argument_and_locals in 1.51s
2025-10-31 13:26:56 [INFO] - Test 2 | PASSED | PASSED: argument_form_expr in 425.70ms
2025-10-31 13:26:56 [INFO] - Test 3 | PASSED | PASSED: argument_used_twice_form_expr in 412.99ms
2025-10-31 13:26:57 [INFO] - Test 4 | PASSED | PASSED: break_from_nested_and_outer_loops in 402.45ms
2025-10-31 13:26:57 [INFO] - Test 5 | PASSED | PASSED: break_from_nested_loop in 409.88ms
2025-10-31 13:26:58 [INFO] - Test 6 | PASSED | PASSED: break_loop in 396.35ms
2025-10-31 13:26:58 [INFO] - Test 7 | PASSED | PASSED: break_loop_nested in 399.47ms
2025-10-31 13:26:58 [INFO] - Test 8 | PASSED | PASSED: break_loop_nested_labeled in 418.77ms
2025-10-31 13:26:59 [INFO] - Test 9 | PASSED | PASSED: break_loop_with_if in 402.17ms
2025-10-31 13:26:59 [INFO] - Test 10 | PASSED | PASSED: break_stmt in 412.88ms
2025-10-31 13:27:00 [INFO] - Test 11 | PASSED | PASSED: break_with_value in 401.90ms
2025-10-31 13:27:00 [INFO] - Test 12 | PASSED | PASSED: break_with_value_and_label in 392.35ms
2025-10-31 13:27:00 [INFO] - Test 13 | PASSED | PASSED: break_with_value_and_return in 422.69ms
2025-10-31 13:27:01 [INFO] - Test 14 | PASSED | FAILED: closure_arguments in 395.35ms
2025-10-31 13:27:01 [INFO] - Test 15 | PASSED | PASSED: comments_in_block_expr in 412.52ms
2025-10-31 13:27:02 [INFO] - Test 16 | PASSED | PASSED: continue_loop_nested_labeled in 397.60ms
2025-10-31 13:27:02 [INFO] - Test 17 | PASSED | FAILED: copy_custom_used_after in 399.05ms
2025-10-31 13:27:02 [INFO] - Test 18 | PASSED | FAILED: copy_used_after in 401.60ms
2025-10-31 13:27:03 [INFO] - Test 19 | PASSED | PASSED: does_not_add_extra_whitespace in 410.51ms
2025-10-31 13:27:03 [INFO] - Test 20 | PASSED | PASSED: does_not_import_control_flow in 396.52ms
2025-10-31 13:27:04 [INFO] - Test 21 | PASSED | PASSED: dont_emit_type_with_hidden_lifetime_parameter in 418.45ms
2025-10-31 13:27:04 [INFO] - Test 22 | PASSED | PASSED: empty_generic_param_list in 393.97ms
2025-10-31 13:27:04 [INFO] - Test 23 | PASSED | PASSED: extract_cast in 403.88ms
2025-10-31 13:27:05 [INFO] - Test 24 | PASSED | PASSED: extract_does_not_tear_body_apart in 406.77ms
2025-10-31 13:27:05 [INFO] - Test 25 | PASSED | PASSED: extract_does_not_tear_comments_apart in 407.72ms
