fn,charon_fresh_ms,charon_cached_ms,aeneas_ms,verifyer_ms
example1_loyalty_update_customer_tier,15154.380,1666.143,1260.238,1383.222
example2_transfer_transfer,9406.049,1671.701,1194.652,1340.722
example3_inventory_apply_stock_change,9288.668,1763.122,1088.141,1168.968
example4_order_apply_event,9202.965,1746.276,1228.368,1313.293
example5_config_normalise_config,9506.052,1618.231,1042.659,1202.972
example6_grading_compute_final_mark,9535.963,1748.757,1050.504,1185.165
example7_moving_averages_moving_average_3,9836.449,1650.950,1194.402,1514.827
example8_intervals_merge_intervals,10579.368,1710.064,1086.264,1200.344
example9_pricing_compute_total_price_cents,9318.423,1680.395,1316.542,1328.938
example10_retry_compute_total_backoff,9337.030,1880.028,1166.898,0
